,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
249988,BTC,1,Bitcoin,"$71,939,565,082 ",$4356.98,"16,511,337","$2,088,710,000",-0.15%,5.04%,29.04%,r_20170817-091505
251035,BTC,1,Bitcoin,"$71,597,875,156 ",$4336.01,"16,512,387","$2,527,650,000",0.45%,0.24%,27.27%,r_20170817-210505
252086,BTC,1,Bitcoin,"$67,802,827,950 ",$4105.53,"16,515,000","$2,766,300,000",-1.37%,-5.03%,10.63%,r_20170819-055006
253132,BTC,1,Bitcoin,"$71,100,469,333 ",$4305.74,"16,512,950","$2,702,650,000",0.22%,-0.06%,25.60%,r_20170818-034005
254184,BTC,1,Bitcoin,"$68,457,427,158 ",$4144.74,"16,516,700","$2,931,400,000",0.81%,-0.74%,3.58%,r_20170820-025505
255236,BTC,1,Bitcoin,"$71,251,609,955 ",$4312.04,"16,523,875","$1,938,900,000",1.63%,4.25%,-0.05%,r_20170824-225005
256293,BTC,1,Bitcoin,"$67,891,112,247 ",$4112.51,"16,508,437","$3,152,850,000",0.23%,-4.02%,20.56%,r_20170815-175005
257339,BTC,1,Bitcoin,"$64,320,687,862 ",$3893.51,"16,519,975","$4,278,010,000",1.51%,-4.51%,-7.79%,r_20170822-093005
258402,BTC,1,Bitcoin,"$74,870,188,715 ",$4528.52,"16,533,037","$2,642,010,000",-0.02%,2.19%,7.94%,r_20170830-124505
259478,BTC,1,Bitcoin,"$72,298,127,997 ",$4373.64,"16,530,425","$1,782,500,000",-0.43%,2.76%,13.28%,r_20170829-063007
260550,BTC,1,Bitcoin,"$71,896,755,555 ",$4350.30,"16,526,850","$1,498,210,000",-0.34%,0.60%,5.13%,r_20170827-052005
261604,BTC,1,Bitcoin,"$71,446,325,213 ",$4327.13,"16,511,250","$2,070,550,000",-0.15%,5.43%,28.42%,r_20170817-075005
262651,BTC,1,Bitcoin,"$71,360,925,113 ",$4323.29,"16,506,162","$20,427,500,000",3.75%,8.85%,30.28%,r_20170814-125005
263703,BTC,1,Bitcoin,"$72,329,287,897 ",$4376.23,"16,527,762","$1,459,010,000",0.26%,1.67%,6.18%,r_20170827-160505
264766,BTC,1,Bitcoin,"$74,962,520,792 ",$4534.06,"16,533,200","$2,240,600,000",-0.45%,-0.41%,7.90%,r_20170830-145505
265844,BTC,1,Bitcoin,"$74,960,328,870 ",$4533.90,"16,533,300","$2,162,370,000",-0.07%,-0.58%,8.10%,r_20170830-155505
266915,BTC,1,Bitcoin,"$66,645,709,457 ",$4037.73,"16,505,737","$2,619,570,000",0.28%,-0.38%,24.80%,r_20170814-054005
267954,BTC,1,Bitcoin,"$71,578,198,833 ",$4335.14,"16,511,162","$2,140,050,000",0.24%,6.59%,28.79%,r_20170817-065005
269003,BTC,1,Bitcoin,"$67,739,413,120 ",$4101.83,"16,514,437","$2,889,550,000",1.59%,-5.54%,14.06%,r_20170818-225005
270051,BTC,1,Bitcoin,"$68,257,611,648 ",$4134.72,"16,508,400","$3,186,250,000",1.97%,-3.27%,21.20%,r_20170815-171505
271098,BTC,1,Bitcoin,"$65,300,433,185 ",$3952.76,"16,520,212","$3,520,170,000",0.41%,-2.17%,-3.52%,r_20170822-163506
272149,BTC,1,Bitcoin,"$73,456,141,679 ",$4448.77,"16,511,562","$2,300,050,000",-0.60%,7.97%,30.98%,r_20170817-123005
273193,BTC,1,Bitcoin,"$56,977,223,894 ",$3454.06,"16,495,725","$1,701,800,000",0.59%,3.73%,24.38%,r_20170808-115505
274237,BTC,1,Bitcoin,"$67,320,433,128 ",$4069.00,"16,544,712","$3,304,350,000",-0.12%,-10.38%,-7.15%,r_20170905-043005
275303,BTC,1,Bitcoin,"$67,733,683,169 ",$4099.95,"16,520,612","$3,764,700,000",0.79%,2.95%,-0.96%,r_20170823-000006
276353,BTC,1,Bitcoin,"$66,776,402,493 ",$4045.70,"16,505,525","$2,678,950,000",-1.14%,-0.35%,25.24%,r_20170814-025004
277399,BTC,1,Bitcoin,"$71,085,861,044 ",$4306.43,"16,506,912","$2,448,310,000",1.01%,5.38%,27.60%,r_20170815-000005
278432,BTC,1,Bitcoin,"$55,112,295,531 ",$3340.41,"16,498,662","$1,330,040,000",0.40%,-1.31%,22.38%,r_20170810-050505
279470,BTC,1,Bitcoin,"$71,377,392,378 ",$4322.52,"16,512,912","$2,685,160,000",1.17%,-0.27%,26.37%,r_20170818-023005
280518,BTC,1,Bitcoin,"$60,646,280,770 ",$3675.07,"16,502,075","$1,995,730,000",0.45%,7.41%,20.77%,r_20170812-043005
281555,BTC,1,Bitcoin,"$69,554,760,881 ",$4209.55,"16,523,087","$2,207,530,000",0.37%,0.56%,-4.08%,r_20170824-092005
282616,BTC,1,Bitcoin,"$71,843,786,068 ",$4347.71,"16,524,512","$2,012,020,000",-0.65%,3.94%,1.01%,r_20170825-113506
283665,BTC,1,Bitcoin,"$56,414,531,647 ",$3418.99,"16,500,350","$1,587,880,000",-0.07%,2.48%,22.59%,r_20170811-041005
284713,BTC,1,Bitcoin,"$73,198,581,498 ",$4429.63,"16,524,762","$1,978,820,000",1.13%,4.52%,4.63%,r_20170825-160505
285767,BTC,1,Bitcoin,"$66,665,920,138 ",$4035.62,"16,519,375","$2,744,450,000",-0.12%,-2.34%,-6.70%,r_20170821-225505
286831,BTC,1,Bitcoin,"$70,560,174,656 ",$4264.64,"16,545,400","$3,169,820,000",1.26%,-1.71%,-4.00%,r_20170905-115506
287914,BTC,1,Bitcoin,"$76,126,425,190 ",$4604.03,"16,534,737","$1,714,100,000",0.34%,1.82%,9.86%,r_20170831-104505
288981,BTC,1,Bitcoin,"$67,234,860,317 ",$4072.85,"16,508,062","$2,968,200,000",-1.16%,-3.93%,19.06%,r_20170815-133504
290036,BTC,1,Bitcoin,"$77,561,057,908 ",$4690.27,"16,536,587","$1,976,880,000",-0.21%,1.82%,7.75%,r_20170901-063005
291105,BTC,1,Bitcoin,"$69,209,226,818 ",$4190.34,"16,516,375","$3,009,500,000",1.16%,1.50%,6.63%,r_20170819-231006
292173,BTC,1,Bitcoin,"$71,689,489,466 ",$4333.39,"16,543,512","$2,535,530,000",0.38%,-3.56%,0.29%,r_20170904-135005
293240,BTC,1,Bitcoin,"$73,558,785,960 ",$4455.00,"16,511,512","$2,298,320,000",-0.11%,8.07%,31.24%,r_20170817-120005
