,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
125,CTO,456,Crypto,"$21,717 ",$0.002034,"10,678,932",$751,0.94%,48.46%,56.93%,r_20170804-070005
126,GLT,430,GlobalToken,"$105,617 ",$0.004768,"22,152,200","$1,225",10.05%,14.23%,-20.67%,r_20170804-070005
127,DOT,283,Dotcoin,"$2,057,786 ",$0.008581,"239,821,000",*,"$30,431",-2.29%,23.38%,r_20170804-070005
128,REE,528,ReeCoin,"$259,087 ",$0.020949,"12,367,704",Low Vol,0.13%,1.34%,-35.61%,r_20170804-070005
129,CLAM,176,Clams,"$8,617,631 ",$3.38,"2,550,833",*,"$521,723",1.66%,7.33%,r_20170804-070005
130,FCT,37,Factom,"$170,394,538 ",$19.47,"8,753,219",*,"$1,801,700",0.00%,2.13%,r_20170804-070005
131,CONX,749,Concoin,"$14,302 ",$0.019216,"744,266",Low Vol,?,0.80%,-33.03%,r_20170804-070005
132,QTUM,13,Qtum,"$485,498,020 ",$8.23,"59,000,000",*,"$38,350,700",4.45%,27.44%,r_20170804-070005
133,FUZZ,677,FuzzBalls,"$36,059 ",$0.007466,"4,829,945",Low Vol,0.25%,35.94%,62.89%,r_20170804-070005
134,BITEUR,428,bitEUR,"$111,520 ",$1.22,"91,436",*,"$1,186",0.25%,2.04%,r_20170804-070005
135,INPAY,307,InPay,"$1,579,230 ",$0.157923,"10,000,000",*,"$70,364",-0.11%,12.46%,r_20170804-070005
136,FCN,503,Fantomcoin,"$409,782 ",$0.066858,"6,129,160",Low Vol,-3.26%,-1.54%,-6.09%,r_20170804-070005
137,BSC,766,BowsCoin,"$9,866 ",$0.001778,"5,550,102",Low Vol,?,0.69%,-32.86%,r_20170804-070005
138,BTU,817,Bitcoin Unlim...,? ,$267.97,?,"$50,107",0.75%,-2.13%,19.24%,r_20170804-070005
139,FC2,544,FuelCoin,"$183,787 ",$0.001811,"101,498,852",**,Low Vol,0.19%,42.68%,r_20170804-070005
140,RICHX,1020,RichCoin,? ,$0.004373,?,Low Vol,?,0.12%,?,r_20170804-070005
141,IFLT,829,InflationCoin,? ,$0.000056,?,*,"$15,608",-19.52%,-11.93%,r_20170804-070005
142,JET,524,JetCoin,"$268,624 ",$0.175100,"1,534,115",*,Low Vol,-3.80%,-26.59%,r_20170804-070005
143,ZMC,740,ZetaMicron,"$16,724 ",$0.000028,"600,344,291",*,Low Vol,0.13%,-48.72%,r_20170804-070005
144,AUM,705,Alexium,"$25,375 ",$0.001250,"20,297,336",*,Low Vol,?,2.28%,r_20170804-070005
145,LTC,5,Litecoin,"$2,244,290,231 ",$42.91,"52,306,532","$97,934,000",-0.03%,1.31%,2.46%,r_20170804-070005
146,LTB,539,LiteBar,"$195,392 ",$0.279052,"700,201",Low Vol,0.13%,-4.63%,-4.99%,r_20170804-070005
147,UNITY,112,SuperNET,"$18,222,719 ",$22.33,"816,061",*,$838,1.49%,1.05%,r_20170804-070005
148,AUR,225,Auroracoin,"$4,442,950 ",$0.513153,"8,658,139",**,"$4,283",0.11%,2.98%,r_20170804-070005
149,XTC,334,TileCoin,"$1,013,910 ",$0.010139,"100,000,000",*,"$50,283",-2.80%,2.29%,r_20170804-070005
150,1ST,53,FirstBlood,"$69,721,944 ",$0.814905,"85,558,371",*,"$8,161,240",1.62%,13.53%,r_20170804-070005
151,XTO,526,Tao,"$261,811 ",$0.008608,"30,415,131",Low Vol,0.25%,-52.59%,-72.06%,r_20170804-070005
152,CAT,593,Catcoin,"$95,550 ",$0.016380,"5,833,300",Low Vol,-13.11%,-7.88%,-40.98%,r_20170804-070005
153,611,671,SixEleven,"$37,874 ",$0.090446,"418,750",Low Vol,0.33%,2.85%,8.08%,r_20170804-070005
154,ALL,626,Allion,"$65,611 ",$0.010583,"6,199,359",Low Vol,0.13%,8.23%,34.71%,r_20170804-070005
155,EDG,72,Edgeless,"$39,443,589 ",$0.480748,"82,046,288",*,"$383,770",0.24%,6.91%,r_20170804-070005
156,CTIC2,459,Coimatic 2.0,"$16,180 ",$0.007376,"2,193,500","$1,350",0.45%,14.47%,-44.24%,r_20170804-070005
